"RANK","NAME","TEAM","CUR","POS","AGE","GP","MpG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PpG","RpG","ApG","SpG","BpG","TOpG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Mac McClung","Ind","","G","27.2","3","11.3","27.1","9.8","4","0.75","8","0.625","10","0.2","0.444","0.481","6.3","1.3","0.3","1.7","0.3","0.7","7.7","6.7","8","4.8","89.2","96.8"
"","Trendon Watford","Phi","*","G-F","25.3","42","16.5","17","18.8","54","0.741","169","0.574","38","0.263","0.541","0.572","6.3","3.4","2.5","0.3","0.4","1.1","9.7","8.8","12.2","9.1","114.5","106.7"
"","Ryan Nembhard","Dal","*","G","23","44","18","18.1","19.3","19","0.789","172","0.453","96","0.375","0.493","0.505","6.3","1.8","4.6","0.3","0","1.5","8.1","11","12.8","8.3","105.6","113.2"
"","Cody Williams","Uta","*","F","21.3","52","21.5","12.9","12.3","53","0.66","196","0.587","89","0.225","0.509","0.527","6.3","2.6","1.3","0.7","0.4","0.8","8.9","7.6","10.2","5.2","108.3","119.2"
"","Gradey Dick","Tor","*","G-F","22.3","63","15.1","17.9","9.9","79","0.873","161","0.54","166","0.301","0.495","0.543","6.2","2.1","0.7","0.6","0.1","0.6","8.3","6.9","9","5.5","109.6","107.8"
"","Tre Mann","Cha","*","G","25.1","43","14.5","23","15.2","25","0.84","134","0.396","145","0.324","0.443","0.462","6.2","2.1","1.9","0.5","0.1","1.2","8.3","8.1","10.2","8","97.9","107.3"
"","Tidjane Salaun","Cha","*","F","20.6","36","15.9","14.8","13.6","40","0.65","75","0.587","83","0.434","0.62","0.632","6.2","4.1","0.8","0.4","0.2","0.7","10.3","6.9","11.1","6.9","121.4","105.8"
"","Gary Payton II","Gol","*","G","33.3","58","14.1","18.4","15.3","20","0.6","190","0.668","104","0.298","0.59","0.593","6.2","3.4","1.6","0.7","0.3","0.9","9.6","7.8","11.1","9.2","117.4","104.5"
"","Jose Alvarado","Nyk","*","G","27.9","15","16.7","18.2","12.7","12","0.667","33","0.576","56","0.268","0.466","0.483","6.1","2.1","3.7","1.2","0.1","0.9","8.1","9.8","11.9","8.7","113.8","104"
"","PJ Hall","Cha","*","C","24.1","12","15.6","17.3","23","26","0.808","48","0.479","2","1","0.52","0.594","6.1","5.5","0.7","0.3","0.7","1.3","11.6","6.8","12.3","7.3","118.5","106.3"
